序号,关键词,店铺名称,宝贝链接,宝贝标题,价格,销量,类目
1,行李箱,Daminy箱包旗舰店,https://mobile.yangkeduo.com/goods2.html?goods_id=8234505447,【破损包赔】20寸全配色登机箱万向轮拉杆箱女行李箱子旅行箱,93,100000,服饰箱包>箱包皮具/女包/男包>旅行箱>旅行箱
2,行李箱,箱包皮具店,https://mobile.yangkeduo.com/goods2.html?goods_id=120169806,【镇店之宝】复古款网红拉杆箱旅行箱学生密码箱男行李箱女登机箱,47.7,100000,服饰箱包>箱包皮具/女包/男包>旅行箱>旅行箱
3,行李箱,箱亲箱爱,https://mobile.yangkeduo.com/goods2.html?goods_id=2400234,【特价硬箱】行李箱男女学生拉杆箱旅行箱密码箱登机箱多规格可选,47,100000,服饰箱包>箱包皮具/女包/男包>旅行箱>旅行箱
4,行李箱,Daminy箱包旗舰店,https://mobile.yangkeduo.com/goods2.html?goods_id=1151616747,【官方特价】铝框行李箱男女万向轮拉杆箱登机旅行箱学生密码箱包,68,100000,服饰箱包>箱包皮具/女包/男包>旅行箱>旅行箱
5,行李箱,金至黛箱包旗舰店,https://mobile.yangkeduo.com/goods2.html?goods_id=290511513,【官方特价】铝框行李箱女拉杆箱男万向轮登机箱旅行箱学生密码箱,57.8,100000,服饰箱包>箱包皮具/女包/男包>旅行箱>旅行箱
6,行李箱,红金鲤箱包,https://mobile.yangkeduo.com/goods2.html?goods_id=417639875,韩版行李箱女拉杆箱男学生旅行箱万向轮皮箱子大容量密码箱铝框款,48.36,100000,服饰箱包>箱包皮具/女包/男包>旅行箱>旅行箱
7,行李箱,诗萍箱包专营店,https://mobile.yangkeduo.com/goods2.html?goods_id=141911322,铝框箱26寸子母箱28旅行箱行李箱女拉杆箱万向轮20寸登机密码箱子,58,100000,服饰箱包>箱包皮具/女包/男包>旅行箱>旅行箱
8,行李箱,红金鲤箱包旗舰店,https://mobile.yangkeduo.com/goods2.html?goods_id=493976265,韩版铝框行李箱女拉杆箱男密码箱旅行箱包26学生24皮箱20寸28箱子,48,100000,服饰箱包>箱包皮具/女包/男包>旅行箱>旅行箱
9,行李箱,贵丽皇冠箱包专卖店,https://mobile.yangkeduo.com/goods2.html?goods_id=786815775,子母箱拉杆箱女万向轮24寸行李箱男旅行箱20寸登机箱潮登机密码箱,55,100000,服饰箱包>箱包皮具/女包/男包>旅行箱>旅行箱
10,行李箱,Daminy箱包旗舰店,https://mobile.yangkeduo.com/goods2.html?goods_id=2786069700,26寸子母箱旅行箱行李箱铝框拉杆箱万向轮20女男学生24密码皮箱子,95,100000,服饰箱包>箱包皮具/女包/男包>旅行箱>旅行箱
